epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.21834,2.97658,4.442,4.23546,0.00143,0.47077,0.00212,0.00105,2.45267,3.95099,4.15884,6.666e-05,6.666e-05,6.666e-05
2,5.06632,3.04129,4.3348,4.22356,0.00202,0.49744,0.00239,0.00114,2.44987,3.94704,4.15621,0.00014157,0.00014157,0.00014157
3,6.8936,3.02997,4.22704,4.15409,0.00199,0.48974,0.00252,0.00124,2.45061,3.93537,4.14974,0.000213401,0.000213401,0.000213401
4,8.65762,3.02144,4.26475,4.14689,0.00297,0.47436,0.00362,0.00154,2.45028,3.92203,4.14065,0.000282152,0.000282152,0.000282152
5,10.4462,3.01751,4.22609,4.10518,0.00126,0.46667,0.00259,0.00115,2.45074,3.90502,4.12345,0.000347823,0.000347823,0.000347823
6,12.3494,3.04511,4.20385,4.08235,0.00124,0.46667,0.0016,0.00073,2.45086,3.88736,4.1036,0.000410415,0.000410415,0.000410415
7,14.2458,2.98776,4.1653,4.00551,0.00125,0.46667,0.00417,0.00168,2.43976,3.86311,4.06148,0.000469926,0.000469926,0.000469926
8,16.0103,2.96487,3.9711,3.94238,0.00127,0.46667,0.00226,0.00103,2.42171,3.87472,4.04545,0.000526358,0.000526358,0.000526358
9,17.8124,3.00616,4.07739,3.90589,0.00132,0.48,0.00575,0.00168,2.46299,3.8459,3.96136,0.000579711,0.000579711,0.000579711
10,19.5844,2.89438,3.86306,3.81735,0.00125,0.46667,0.10715,0.01286,2.45241,3.86472,3.942,0.000629984,0.000629984,0.000629984
11,21.3342,2.90446,3.83294,3.77626,0.00199,0.50308,0.06715,0.015,2.39753,3.76353,3.79046,0.000677177,0.000677177,0.000677177
12,23.3955,2.84766,3.72612,3.6998,0.00209,0.50544,0.02361,0.00698,2.33057,4.12185,3.57873,0.00072129,0.00072129,0.00072129
13,25.2949,2.86805,3.84172,3.68432,0.40211,0.448,0.02474,0.00748,2.30617,4.09635,3.55873,0.000762324,0.000762324,0.000762324
14,27.0998,2.75152,3.69418,3.58496,0.00222,0.49774,0.02733,0.00579,2.43281,4.09218,3.78249,0.000800278,0.000800278,0.000800278
